Pattern, Support-Frequence
[[[['Piena_T0_3,QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9969716996951972-202140']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_1,QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9969625635963247-249451']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9969560184721616-248913']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9969559238281706-213862']]
[[[['QuasiPiena_T0_2,Piena_T0_3,QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9969463254804379-241591']]
[[[['QuasiPiena_T0_1,Piena_T0_3,QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9969440657373658-214987']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9969360611673607-214749']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9969169514090109-241869']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9969120446055552-252460']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9969117894776245-213056']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9969105769104897-228461']]
[[[['Piena_T0_3,QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9969090445959715-203513']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.996897102869008-212687']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.996893264483913-210819']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9968856790244468-223748']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9968794729776584-224260']]
[[[['Piena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9968694947356233-241057']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9968685295103626-252761']]
[[[['Piena_T0_3,QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9968514035094931-242517']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9968431167934174-265561']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9968395114634669-204699']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9968390225082642-227373']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9968235381503118-228144']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9967987662398355-213295']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9967927195202697-212270']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9967848834224008-252365']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9967812152649129-215225']]
