Pattern, Support-Frequence
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9789534118437819-69910']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9789507289560498-45996']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9789270109591004-68334']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9789141925304861-258728']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9788822096583164-43804']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9788821837064066-279001']]
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_0'], ['Piena_T2_3']]], ['0.978866474543708-1019']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9788416532230578-215399']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9786994219653179-33863']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9786096256684492-366']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9785450100300903-62439']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9785339591385974-42531']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9784979841860174-62618']]
[[[['Piena_T0_0'], ['Vuota_T1_1,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.978416257883672-13962']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9784059745770021-56727']]
[[[['Piena_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9784058431248015-49296']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9783887196202083-13808']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9783177225544073-84917']]
