Pattern, Support-Frequence
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9770114942528736-1955']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9767649687220733-1093']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.976761151861628-73639']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T2_3']]], ['0.9766752977731745-47149']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9766533257099295-20498']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9766245170354759-55609']]
[[[['Vuota_T0_1,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.9764939110733504-13792']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['Piena_T1_2']]], ['0.9764725059769616-17971']]
[[[['Vuota_T0_3,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9764344262295082-953']]
[[[['Vuota_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9764309764309764-1450']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9763955463294961-129348']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9763336178869172-107508']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9763106396127305-18958']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9763007134106796-108385']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9762079146735025-85303']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9761904761904762-574']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9761741628909272-44167']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9761291274588815-85996']]
[[[['Vuota_T0_0,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9760765550239234-816']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9759389671361502-1663']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9759174311926605-851']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9758956662945296-19231']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_2,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9758812615955473-526']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9758064516129032-242']]
[[[['Vuota_T0_1,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9757814700084483-6930']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.975770986417279-70115']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9757595051846462-21455']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3']]], ['0.97574040690188-113664']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9757356601944291-74474']]
