Pattern, Support-Frequence
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9975874070558456-100892']]
[[[['Vuota_T0_1,Piena_T0_1,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.997583962301825-49961']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9975814750229529-323793']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9975796744147125-154975']]
[[[['Vuota_T0_2,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9975737761335284-57974']]
[[[['Vuota_T0_3,Vuota_T0_1,Piena_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.997567201084789-50026']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9975607772989674-49076']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9975598517060092-95253']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9975539969568934-329119']]
[[[['Vuota_T0_1,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9975532748164956-247072']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9975487349029769-334922']]
[[[['Vuota_T0_1,Vuota_T0_1,Piena_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9975463543844975-35777']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9975332165155407-58636']]
[[[['Piena_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.997531756065258-49710']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9975222904731177-279806']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9975212675246387-100608']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9975161203787419-100399']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9975088478850977-58061']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.997508522292879-221804']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9975074962518741-266135']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9975074020519177-72434']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9975022808513184-200082']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9975015104666454-280667']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9974993164135325-200642']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9974977574241065-42256']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9974936910153144-57709']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9974931951004723-199355']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9974921148475838-220747']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9974856463357414-278495']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9974855542627251-202318']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9974840378818447-84050']]
[[[['Vuota_T0_3,Vuota_T0_1,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9974826415756187-96683']]
